时间戳记,"1. How often do you use facial skincare products (e.g., moisturizer, serum, cleanser)?",2. Which of the following skincare product categories do you regularly use? (Select all that apply),3. Where do you typically get information about skincare products before purchasing? (Select all that apply),"1. How important are the following factors when you choose a skincare product?
(Please rate on a scale of 1 - Not at all Important to 5 - Extremely Important) [Factor]","1. How important are the following factors when you choose a skincare product?
(Please rate on a scale of 1 - Not at all Important to 5 - Extremely Important) [Brand Reputation]","1. How important are the following factors when you choose a skincare product?
(Please rate on a scale of 1 - Not at all Important to 5 - Extremely Important) [Price/Value for Money]","1. How important are the following factors when you choose a skincare product?
(Please rate on a scale of 1 - Not at all Important to 5 - Extremely Important) [Specific Ingredients / Efficacy]","1. How important are the following factors when you choose a skincare product?
(Please rate on a scale of 1 - Not at all Important to 5 - Extremely Important) [Product Reviews & Recommendations]","1. How important are the following factors when you choose a skincare product?
(Please rate on a scale of 1 - Not at all Important to 5 - Extremely Important) [Packaging Design (whether Eco-friendly / Sustainable)]","1. How important are the following factors when you choose a skincare product?
(Please rate on a scale of 1 - Not at all Important to 5 - Extremely Important) [""Clean"" / Non-Toxic Formula]","1. How important are the following factors when you choose a skincare product?
(Please rate on a scale of 1 - Not at all Important to 5 - Extremely Important) [Brand's Ethical Values (e.g., cruelty-free, carbon-neutral)]","1. How important are the following factors when you choose a skincare product?
(Please rate on a scale of 1 - Not at all Important to 5 - Extremely Important) [Prior Experience (with sample products, etc.)]","1. How important are the following factors when you choose a skincare product?
(Please rate on a scale of 1 - Not at all Important to 5 - Extremely Important) [Origin]","1. How important are the following factors when you choose a skincare product?
(Please rate on a scale of 1 - Not at all Important to 5 - Extremely Important) [Marketing Frequency]",2. Trusted sources of information on skin-care products,3. Which best describes your current skincare spending per month?,4.  Channels of purchases,5. What behavioral factors do you think are necessary for healthy skin?,6. Do you regularly repurchase or use products from a particular brand?,7. Do you regularly repurchase or use a particular product with a specific function?,1. What is your gender?,2. What is the highest level of education you have completed?,3. In which region do you currently reside?,4.  Satisfaction with skin health,5. How old are you?,6. What is your profession?,7. What is your skin type?,8. Have you ever experienced side effects from skincare products?,9. How much psychological stress do you think you are under?,10. Do you consider your current lifestyle and habits to be healthy?
2026-3-23 下午02:27:46,4-6 times a week,"Cleanser, Moisturizer","Social media (e.g., Instagram, TikTok, YouTube), In-store consultations, Dermatologist or aesthetician recommendations",1,2,5,4,4,4,2,2,3,2,3,"Dermatologists, Online Reviews",Less than 100 (RMB/HKD),Online shopping sites,"Abstain from smoking and drinking, Apply sunblock product, Apply moisturizers",No,Yes,Female,Bachelor's Degree,Hong Kong / Macao,7,36 - 45,Office worker,the mixed type,Maybe,8,5
2026-3-23 下午02:27:48,4-6 times a week,"Cleanser, Moisturizer, Toner, Eye Cream, Exfoliator (AHA/BHA)",Brand websites,2,2,2,5,5,4,2,4,4,4,3,Sales Representatives,200 - 500 (RMB/HKD),Online shopping sites,Get complete sleep,Yes,Yes,Female,Master's Degree or higher,Hong Kong / Macao,7,36 - 45,Office worker,the mixed type,No,6,6
2026-3-23 下午02:27:51,4-6 times a week,"Moisturizer, Serum, Sunscreen, Toner","Beauty blogs or magazines, Recommendations from friends/family, Dermatologist or aesthetician recommendations",5,2,2,4,4,3,5,3,5,4,3,Pharmacists,200 - 500 (RMB/HKD),Online shopping sites,"Get complete sleep, Apply moisturizers",No,Yes,Female,Master's Degree or higher,Hong Kong / Macao,7,19 - 25,Student,Oily,Yes,5,7
2026-3-23 下午02:27:54,4-6 times a week,"Cleanser, Moisturizer, Serum, Eye Cream, Exfoliator (AHA/BHA)","Social media (e.g., Instagram, TikTok, YouTube), Recommendations from friends/family, In-store consultations",3,4,4,4,5,5,2,2,3,2,3,"Sales Representatives, Online Reviews",100 - 200 (RMB/HKD),Online shopping sites,"Abstain from smoking and drinking, Apply sunblock product, Apply moisturizers",Yes,Yes,Female,Bachelor's Degree,Hong Kong / Macao,10,19 - 25,Unemployed,Sensitive,No,5,6
2026-3-23 下午02:27:57,4-6 times a week,"Moisturizer, Serum, Toner, Eye Cream",Dermatologist or aesthetician recommendations,4,3,4,4,4,4,3,3,3,3,4,"Friends and Acquaintances, Pharmacists",200 - 500 (RMB/HKD),Department stores,"Get complete sleep, Abstain from smoking and drinking, Apply moisturizers",Yes,No,Female,Other,EU Country,6,26 - 35,Office worker,Sensitive,No,3,6
2026-3-23 下午02:28:02,Daily,"Cleanser, Moisturizer, Serum","Online reviews (e.g., Amazon, Sephora)",3,3,4,5,5,4,4,4,3,2,4,"Dermatologists, Online Reviews",200 - 500 (RMB/HKD),Online shopping sites,"Get complete sleep, Abstain from smoking and drinking, Take vitamins",No,Yes,Female,Master's Degree or higher,Hong Kong / Macao,6,26 - 35,Office worker,Sensitive,Maybe,4,5
2026-3-23 下午02:28:04,Daily,"Cleanser, Moisturizer, Sunscreen","Online reviews (e.g., Amazon, Sephora), Dermatologist or aesthetician recommendations",3,4,3,4,2,5,5,4,3,2,1,"Online Reviews, Pharmacists",100 - 200 (RMB/HKD),Online shopping sites,"Get complete sleep, Abstain from smoking and drinking, Take vitamins",No,Yes,Male,Master's Degree or higher,Hong Kong / Macao,6,36 - 45,Office worker,Oily,Maybe,3,1
2026-3-23 下午02:28:08,4-6 times a week,"Cleanser, Moisturizer, Serum, Exfoliator (AHA/BHA)","Online reviews (e.g., Amazon, Sephora), Recommendations from friends/family",3,4,4,4,5,5,5,3,5,4,2,"Friends and Acquaintances, Pharmacists",200 - 500 (RMB/HKD),Online shopping sites,"Drink enough water, Get complete sleep, Apply moisturizers",Yes,No,Female,Master's Degree or higher,Hong Kong / Macao,7,26 - 35,Office worker,Sensitive,Yes,4,8
2026-3-23 下午02:28:09,2-3 times a week,Cleanser,"Recommendations from friends/family, Dermatologist or aesthetician recommendations",4,2,5,4,3,2,3,4,4,4,4,"Sales Representatives, Online Reviews",Less than 100 (RMB/HKD),Online shopping sites,Abstain from smoking and drinking,No,Yes,Male,Master's Degree or higher,Hong Kong / Macao,3,26 - 35,Office worker,Oily,Maybe,4,7
2026-3-23 下午02:28:11,4-6 times a week,"Cleanser, Moisturizer, Face Oil, Eye Cream, Exfoliator (AHA/BHA)","Online reviews (e.g., Amazon, Sephora), Dermatologist or aesthetician recommendations",2,2,3,5,5,5,4,3,5,3,4,Friends and Acquaintances,200 - 500 (RMB/HKD),Online shopping sites,"Get complete sleep, Take vitamins, Apply moisturizers",Yes,Yes,Female,Master's Degree or higher,Hong Kong / Macao,3,26 - 35,Office worker,Oily,Maybe,10,2
2026-3-23 下午02:28:15,2-3 times a week,Cleanser,"Brand websites, Social media (e.g., Instagram, TikTok, YouTube), Dermatologist or aesthetician recommendations",4,1,5,3,2,2,5,4,3,3,3,Online Reviews,Less than 100 (RMB/HKD),Online shopping sites,Apply sunblock product,No,Yes,Male,Other,Hong Kong / Macao,5,36 - 45,Office worker,Oily,Yes,5,7
2026-3-23 下午02:28:18,Rarely or never,Cleanser,"Brand websites, Online reviews (e.g., Amazon, Sephora), Recommendations from friends/family",1,2,5,3,2,1,5,2,5,3,3,"Dermatologists, Friends and Acquaintances",Less than 100 (RMB/HKD),Large grocery store chains,"Get complete sleep, Take vitamins",Yes,No,Male,Master's Degree or higher,Hong Kong / Macao,5,19 - 25,Student,Oily,Yes,4,5
2026-3-23 下午02:28:23,2-3 times a week,Cleanser,"Social media (e.g., Instagram, TikTok, YouTube)",4,1,5,4,2,2,5,2,4,3,3,Dermatologists,Less than 100 (RMB/HKD),Large grocery store chains,"Get complete sleep, Apply sunblock product",No,Yes,Male,Other,Hong Kong / Macao,8,26 - 35,Office worker,Oily,No,6,5
2026-3-23 下午02:28:26,Daily,"Cleanser, Moisturizer, Face Oil, Sunscreen, Eye Cream",In-store consultations,5,4,2,4,4,5,4,2,5,2,1,"Dermatologists, Friends and Acquaintances",100 - 200 (RMB/HKD),Large grocery store chains,Take vitamins,No,Yes,Female,Master's Degree or higher,Hong Kong / Macao,3,36 - 45,Office worker,Dry,Maybe,4,7
2026-3-23 下午02:28:28,Daily,"Serum, Eye Cream, Exfoliator (AHA/BHA)","Brand websites, Dermatologist or aesthetician recommendations",4,4,2,5,2,4,5,3,5,2,1,Sales Representatives,200 - 500 (RMB/HKD),Department stores,Get complete sleep,No,No,Female,Master's Degree or higher,Hong Kong / Macao,5,36 - 45,Service Worker,Sensitive,No,5,8
2026-3-23 下午02:28:33,Daily,"Cleanser, Toner","Brand websites, Social media (e.g., Instagram, TikTok, YouTube)",4,2,5,4,4,3,2,2,4,3,4,Dermatologists,Less than 100 (RMB/HKD),Online shopping sites,"Drink enough water, Apply sunblock product, Take vitamins",Yes,Yes,Female,Bachelor's Degree,Hong Kong / Macao,8,19 - 25,Student,the mixed type,Maybe,4,4
2026-3-23 下午02:28:36,Rarely or never,Cleanser,"Brand websites, In-store consultations, Dermatologist or aesthetician recommendations",1,1,5,4,2,2,3,4,3,2,2,"Friends and Acquaintances, Pharmacists",Less than 100 (RMB/HKD),Large grocery store chains,"Drink enough water, Abstain from smoking and drinking",Yes,No,Male,Other,Hong Kong / Macao,7,26 - 35,Office worker,Sensitive,Yes,4,5
2026-3-23 下午02:28:39,4-6 times a week,"Moisturizer, Face Oil, Eye Cream",Dermatologist or aesthetician recommendations,3,5,2,3,2,3,3,3,3,4,4,"Friends and Acquaintances, Sales Representatives",more than 500 (RMB/HKD),Online shopping sites,"Drink enough water, Abstain from smoking and drinking",Yes,Yes,Female,Master's Degree or higher,Hong Kong / Macao,6,26 - 35,Office worker,Sensitive,Maybe,2,5
2026-3-23 下午02:28:44,Daily,"Cleanser, Moisturizer, Sunscreen","Recommendations from friends/family, In-store consultations, Dermatologist or aesthetician recommendations",5,2,3,5,3,3,2,2,3,4,1,Pharmacists,100 - 200 (RMB/HKD),Online shopping sites,"Get complete sleep, Take vitamins",No,No,Male,Master's Degree or higher,Hong Kong / Macao,5,26 - 35,Office worker,Sensitive,Maybe,7,5
2026-3-23 下午02:28:47,4-6 times a week,"Cleanser, Moisturizer, Serum, Face Oil, Exfoliator (AHA/BHA)","Brand websites, Beauty blogs or magazines",3,4,2,5,4,5,4,4,5,4,4,Online Reviews,100 - 200 (RMB/HKD),Large grocery store chains,"Apply sunblock product, Apply moisturizers",No,Yes,Female,Other,Hong Kong / Macao,7,36 - 45,Technology Industry,Oily,Yes,8,5
2026-3-23 下午02:28:50,Rarely or never,Cleanser,Recommendations from friends/family,2,2,5,3,2,1,2,2,4,2,2,"Dermatologists, Online Reviews",Less than 100 (RMB/HKD),Large grocery store chains,Drink enough water,No,Yes,Male,Bachelor's Degree,Hong Kong / Macao,7,36 - 45,Office worker,Oily,Maybe,6,7
2026-3-23 下午02:28:53,2-3 times a week,Cleanser,"Beauty blogs or magazines, In-store consultations, Dermatologist or aesthetician recommendations",3,2,5,3,3,2,3,2,5,4,3,"Friends and Acquaintances, Online Reviews",Less than 100 (RMB/HKD),Online shopping sites,"Drink enough water, Apply moisturizers",Yes,Yes,Male,Master's Degree or higher,Hong Kong / Macao,8,19 - 25,Student,Sensitive,No,7,6
2026-3-23 下午02:28:57,Rarely or never,Cleanser,In-store consultations,5,2,5,4,2,1,5,4,4,4,1,Dermatologists,Less than 100 (RMB/HKD),Large grocery store chains,"Drink enough water, Get complete sleep, Take vitamins",No,Yes,Male,Bachelor's Degree,America,7,26 - 35,Housewife,Dry,Maybe,7,7
2026-3-23 下午02:29:00,4-6 times a week,"Moisturizer, Serum, Toner, Eye Cream","Brand websites, Social media (e.g., Instagram, TikTok, YouTube), In-store consultations",4,5,3,4,2,5,5,2,3,3,4,"Friends and Acquaintances, Sales Representatives",more than 500 (RMB/HKD),Department stores,"Get complete sleep, Take vitamins",No,Yes,Female,Other,Hong Kong / Macao,9,36 - 45,Office worker,Oily,Yes,8,6
2026-3-23 下午02:29:03,Daily,"Cleanser, Moisturizer","Social media (e.g., Instagram, TikTok, YouTube), In-store consultations, Dermatologist or aesthetician recommendations",1,2,5,4,4,4,2,2,4,3,3,"Dermatologists, Pharmacists",Less than 100 (RMB/HKD),Online shopping sites,"Drink enough water, Take vitamins",No,No,Female,Bachelor's Degree,Hong Kong / Macao,5,26 - 35,Office worker,Oily,No,5,5
2026-3-23 下午02:29:07,2-3 times a week,Cleanser,"Social media (e.g., Instagram, TikTok, YouTube), Recommendations from friends/family, Dermatologist or aesthetician recommendations",4,2,5,4,2,1,3,3,4,3,4,"Sales Representatives, Online Reviews",Less than 100 (RMB/HKD),Online shopping sites,"Get complete sleep, Abstain from smoking and drinking",No,Yes,Male,Master's Degree or higher,Hong Kong / Macao,8,36 - 45,Service Worker,the mixed type,Yes,6,6
2026-3-23 下午02:29:11,4-6 times a week,"Cleanser, Moisturizer","Online reviews (e.g., Amazon, Sephora), Beauty blogs or magazines, Dermatologist or aesthetician recommendations",3,2,5,5,4,2,4,3,5,4,2,"Friends and Acquaintances, Pharmacists",Less than 100 (RMB/HKD),Large grocery store chains,"Abstain from smoking and drinking, Apply sunblock product",No,Yes,Female,Other,Hong Kong / Macao,4,26 - 35,Office worker,Dry,Maybe,4,3
2026-3-23 下午02:29:14,2-3 times a week,Cleanser,"Brand websites, Recommendations from friends/family, Dermatologist or aesthetician recommendations",5,1,5,4,3,1,4,4,3,3,4,"Dermatologists, Online Reviews",Less than 100 (RMB/HKD),Large grocery store chains,"Apply sunblock product, Take vitamins, Apply moisturizers",No,Yes,Male,Master's Degree or higher,Hong Kong / Macao,8,36 - 45,Office worker,the mixed type,Yes,5,3
2026-3-23 下午02:29:15,4-6 times a week,"Moisturizer, Serum, Sunscreen, Toner, Eye Cream",Brand websites,2,2,3,5,4,5,3,3,4,3,4,"Dermatologists, Sales Representatives",200 - 500 (RMB/HKD),Department stores,Drink enough water,Yes,No,Female,Master's Degree or higher,Hong Kong / Macao,10,26 - 35,Office worker,Oily,No,6,3
2026-3-23 下午02:29:18,4-6 times a week,"Cleanser, Moisturizer, Face Oil, Sunscreen, Eye Cream",Dermatologist or aesthetician recommendations,2,4,2,5,5,1,3,4,3,4,2,Online Reviews,200 - 500 (RMB/HKD),Online shopping sites,Apply moisturizers,No,No,Female,Bachelor's Degree,Hong Kong / Macao,7,26 - 35,Office worker,Dry,No,5,7
2026-3-23 下午02:29:21,Daily,"Cleanser, Moisturizer, Sunscreen, Toner, Eye Cream","Social media (e.g., Instagram, TikTok, YouTube), Online reviews (e.g., Amazon, Sephora)",5,3,2,5,5,4,4,4,4,4,4,Sales Representatives,100 - 200 (RMB/HKD),Online shopping sites,"Drink enough water, Get complete sleep, Abstain from smoking and drinking",Yes,No,Female,Bachelor's Degree,Mainland of China,4,26 - 35,Office worker,Dry,No,4,6
2026-3-23 下午02:29:23,4-6 times a week,"Moisturizer, Eye Cream, Exfoliator (AHA/BHA)","Social media (e.g., Instagram, TikTok, YouTube), In-store consultations, Dermatologist or aesthetician recommendations",2,4,2,4,3,2,3,3,4,4,1,"Friends and Acquaintances, Pharmacists",200 - 500 (RMB/HKD),Department stores,"Apply sunblock product, Take vitamins, Apply moisturizers",No,No,Female,Other,Hong Kong / Macao,5,26 - 35,Technology Industry,Sensitive,No,7,7
2026-3-23 下午02:29:25,Daily,"Cleanser, Moisturizer, Sunscreen","Brand websites, Online reviews (e.g., Amazon, Sephora)",2,2,4,5,2,4,5,4,5,2,1,"Dermatologists, Pharmacists",100 - 200 (RMB/HKD),Large grocery store chains,"Drink enough water, Get complete sleep, Apply sunblock product",Yes,No,Male,High School or equivalent,Hong Kong / Macao,3,15 - 18,Student,the mixed type,No,5,5
2026-3-23 下午02:29:27,Rarely or never,Cleanser,Beauty blogs or magazines,3,1,5,3,2,1,4,4,5,4,4,"Sales Representatives, Pharmacists",Less than 100 (RMB/HKD),Online shopping sites,"Abstain from smoking and drinking, Apply moisturizers",No,No,Male,Other,Hong Kong / Macao,8,36 - 45,Office worker,the mixed type,Yes,8,5
2026-3-23 下午02:29:29,4-6 times a week,"Cleanser, Moisturizer, Serum","Social media (e.g., Instagram, TikTok, YouTube), Beauty blogs or magazines, Dermatologist or aesthetician recommendations",4,5,2,5,5,4,5,3,3,4,1,Online Reviews,more than 500 (RMB/HKD),Department stores,Take vitamins,No,Yes,Female,Master's Degree or higher,America,7,19 - 25,Student,Dry,No,5,8
2026-3-23 下午02:29:31,4-6 times a week,"Moisturizer, Serum, Sunscreen, Eye Cream",Brand websites,3,2,4,5,4,4,3,3,4,2,4,Sales Representatives,100 - 200 (RMB/HKD),Large grocery store chains,Abstain from smoking and drinking,Yes,Yes,Female,Master's Degree or higher,Hong Kong / Macao,8,26 - 35,Unemployed,Oily,Maybe,7,7
2026-3-23 下午02:29:36,Daily,"Cleanser, Moisturizer, Serum, Sunscreen","Brand websites, Beauty blogs or magazines, In-store consultations",2,2,4,4,4,4,3,3,3,2,4,Online Reviews,100 - 200 (RMB/HKD),Online shopping sites,"Drink enough water, Get complete sleep, Apply moisturizers",Yes,Yes,Female,Master's Degree or higher,Hong Kong / Macao,7,Over 60 years old,Unemployed,Oily,Maybe,7,5
2026-3-23 下午02:29:38,Daily,"Cleanser, Serum, Exfoliator (AHA/BHA)",Recommendations from friends/family,2,4,3,4,5,3,3,2,4,4,1,"Friends and Acquaintances, Pharmacists",200 - 500 (RMB/HKD),Department stores,"Drink enough water, Apply moisturizers",Yes,No,Female,Master's Degree or higher,Hong Kong / Macao,8,26 - 35,Office worker,the mixed type,Yes,7,4
2026-3-23 下午02:29:43,2-3 times a week,Cleanser,"Brand websites, Online reviews (e.g., Amazon, Sephora), In-store consultations",4,1,5,3,3,1,3,3,3,2,1,"Sales Representatives, Pharmacists",Less than 100 (RMB/HKD),Large grocery store chains,"Apply sunblock product, Apply moisturizers",Yes,Yes,Male,Master's Degree or higher,Hong Kong / Macao,8,26 - 35,Self-employed,the mixed type,No,6,5
2026-3-23 下午02:29:47,2-3 times a week,Cleanser,Recommendations from friends/family,1,1,5,4,2,1,4,4,4,4,2,"Dermatologists, Pharmacists",Less than 100 (RMB/HKD),Large grocery store chains,"Drink enough water, Get complete sleep, Apply moisturizers",Yes,Yes,Male,Other,Hong Kong / Macao,9,26 - 35,Office worker,the mixed type,Yes,7,6
2026-3-23 下午02:29:49,4-6 times a week,"Cleanser, Moisturizer, Serum, Toner, Exfoliator (AHA/BHA)","Beauty blogs or magazines, Dermatologist or aesthetician recommendations",4,4,2,5,4,3,2,3,4,4,3,Dermatologists,more than 500 (RMB/HKD),Online shopping sites,Drink enough water,No,No,Female,Master's Degree or higher,Hong Kong / Macao,5,36 - 45,Office worker,Dry,Yes,4,6
2026-3-23 下午02:29:51,4-6 times a week,"Cleanser, Moisturizer, Serum, Toner","Brand websites, Online reviews (e.g., Amazon, Sephora), Recommendations from friends/family",1,4,2,5,5,4,2,3,3,3,3,Sales Representatives,200 - 500 (RMB/HKD),Online shopping sites,"Abstain from smoking and drinking, Take vitamins",Yes,No,Female,Master's Degree or higher,Hong Kong / Macao,8,19 - 25,Student,Sensitive,Yes,6,3
2026-3-23 下午02:29:55,Daily,"Moisturizer, Toner, Eye Cream","In-store consultations, Dermatologist or aesthetician recommendations",5,2,3,4,4,4,4,2,3,4,2,Dermatologists,200 - 500 (RMB/HKD),Online shopping sites,"Abstain from smoking and drinking, Apply sunblock product, Apply moisturizers",Yes,Yes,Female,Other,Hong Kong / Macao,10,19 - 25,Student,Dry,Maybe,4,6
2026-3-23 下午02:29:57,Daily,"Cleanser, Moisturizer","Social media (e.g., Instagram, TikTok, YouTube), Online reviews (e.g., Amazon, Sephora), Dermatologist or aesthetician recommendations",4,1,5,4,4,5,4,3,4,2,1,Dermatologists,Less than 100 (RMB/HKD),Online shopping sites,"Abstain from smoking and drinking, Apply sunblock product",No,Yes,Female,Other,Other Asia country,7,36 - 45,Office worker,Oily,Yes,6,4
2026-3-23 下午02:29:59,Rarely or never,Cleanser,"Brand websites, Online reviews (e.g., Amazon, Sephora)",4,2,5,3,3,1,2,2,4,2,1,"Dermatologists, Friends and Acquaintances",Less than 100 (RMB/HKD),Large grocery store chains,"Take vitamins, Apply moisturizers",Yes,Yes,Male,Master's Degree or higher,Hong Kong / Macao,6,26 - 35,Office worker,the mixed type,Yes,5,7
2026-3-23 下午02:30:00,2-3 times a week,Cleanser,Dermatologist or aesthetician recommendations,1,1,5,4,2,1,2,4,5,3,1,Sales Representatives,Less than 100 (RMB/HKD),Online shopping sites,Apply sunblock product,Yes,Yes,Male,Other,Hong Kong / Macao,6,45 - 60,Self-employed,Sensitive,Maybe,6,5
2026-3-23 下午02:30:03,4-6 times a week,"Face Oil, Sunscreen, Eye Cream","Social media (e.g., Instagram, TikTok, YouTube), Beauty blogs or magazines",4,2,4,5,5,3,4,3,4,4,4,Pharmacists,200 - 500 (RMB/HKD),Online shopping sites,"Abstain from smoking and drinking, Apply moisturizers",No,No,Female,Master's Degree or higher,Hong Kong / Macao,9,26 - 35,Office worker,Oily,No,7,4
2026-3-23 下午02:30:08,4-6 times a week,"Moisturizer, Sunscreen, Eye Cream","Recommendations from friends/family, Dermatologist or aesthetician recommendations",3,2,2,5,5,2,4,4,5,2,2,Friends and Acquaintances,100 - 200 (RMB/HKD),Online shopping sites,"Drink enough water, Abstain from smoking and drinking, Apply moisturizers",No,Yes,Female,Other,Hong Kong / Macao,9,36 - 45,Office worker,Dry,No,6,6
2026-3-23 下午02:30:12,Rarely or never,Cleanser,Beauty blogs or magazines,5,1,5,4,2,2,3,2,5,3,1,"Dermatologists, Pharmacists",Less than 100 (RMB/HKD),Online shopping sites,"Drink enough water, Get complete sleep, Apply moisturizers",No,Yes,Male,Master's Degree or higher,Hong Kong / Macao,5,26 - 35,Office worker,Sensitive,Maybe,7,7
2026-3-23 下午02:30:15,Rarely or never,Cleanser,"Social media (e.g., Instagram, TikTok, YouTube), Online reviews (e.g., Amazon, Sephora)",1,2,5,4,2,1,4,2,5,4,3,Friends and Acquaintances,Less than 100 (RMB/HKD),Online shopping sites,"Drink enough water, Apply sunblock product, Take vitamins",Yes,No,Male,Other,Hong Kong / Macao,7,26 - 35,Office worker,Dry,Maybe,6,5
2026-3-23 下午02:30:20,2-3 times a week,Cleanser,"Social media (e.g., Instagram, TikTok, YouTube), Online reviews (e.g., Amazon, Sephora)",5,1,5,3,2,2,3,4,3,4,3,Sales Representatives,Less than 100 (RMB/HKD),Large grocery store chains,Apply moisturizers,Yes,Yes,Male,Master's Degree or higher,Hong Kong / Macao,7,26 - 35,Office worker,Sensitive,Maybe,2,7
2026-3-23 下午02:30:24,4-6 times a week,"Cleanser, Moisturizer, Face Oil, Eye Cream, Exfoliator (AHA/BHA)",Beauty blogs or magazines,4,4,3,4,2,3,4,2,3,3,2,"Dermatologists, Online Reviews",more than 500 (RMB/HKD),Online shopping sites,"Drink enough water, Get complete sleep, Apply sunblock product",Yes,No,Female,Bachelor's Degree,Hong Kong / Macao,8,19 - 25,Service Worker,Dry,No,7,6
2026-3-23 下午02:30:26,4-6 times a week,"Cleanser, Serum, Face Oil","Social media (e.g., Instagram, TikTok, YouTube), Beauty blogs or magazines, Recommendations from friends/family",5,2,3,4,4,4,4,4,5,4,4,Online Reviews,200 - 500 (RMB/HKD),Online shopping sites,"Apply sunblock product, Apply moisturizers",No,No,Female,Bachelor's Degree,Hong Kong / Macao,6,26 - 35,Office worker,Sensitive,Yes,5,5
2026-3-23 下午02:30:28,Rarely or never,Cleanser,"Social media (e.g., Instagram, TikTok, YouTube), Beauty blogs or magazines",3,1,5,4,2,1,3,3,5,2,2,Online Reviews,Less than 100 (RMB/HKD),Large grocery store chains,"Get complete sleep, Apply sunblock product, Apply moisturizers",No,No,Male,Bachelor's Degree,Hong Kong / Macao,7,26 - 35,Office worker,Sensitive,Maybe,7,4
2026-3-23 下午02:30:31,2-3 times a week,Cleanser,Dermatologist or aesthetician recommendations,1,1,5,4,2,1,3,2,4,2,4,Online Reviews,Less than 100 (RMB/HKD),Large grocery store chains,"Abstain from smoking and drinking, Apply sunblock product, Apply moisturizers",Yes,No,Male,Bachelor's Degree,Hong Kong / Macao,5,45 - 60,Housewife,Sensitive,Yes,7,3
2026-3-23 下午02:30:35,Daily,"Cleanser, Moisturizer, Sunscreen, Toner, Eye Cream","Beauty blogs or magazines, Recommendations from friends/family, In-store consultations",2,3,2,4,5,4,3,4,5,4,4,"Dermatologists, Sales Representatives",200 - 500 (RMB/HKD),Department stores,"Abstain from smoking and drinking, Apply moisturizers",No,Yes,Female,High School or equivalent,Hong Kong / Macao,7,15 - 18,Student,Dry,Yes,5,6
2026-3-23 下午02:30:38,4-6 times a week,"Cleanser, Serum, Eye Cream, Exfoliator (AHA/BHA)","Social media (e.g., Instagram, TikTok, YouTube), Beauty blogs or magazines",3,4,2,4,4,3,3,2,4,4,4,Online Reviews,more than 500 (RMB/HKD),Online shopping sites,"Get complete sleep, Apply moisturizers",No,No,Female,Master's Degree or higher,Hong Kong / Macao,7,36 - 45,Office worker,Sensitive,Maybe,5,6
2026-3-23 下午02:30:41,2-3 times a week,Cleanser,"Online reviews (e.g., Amazon, Sephora)",1,1,5,3,2,2,4,3,3,3,1,Friends and Acquaintances,Less than 100 (RMB/HKD),Online shopping sites,"Get complete sleep, Abstain from smoking and drinking, Apply sunblock product",Yes,Yes,Male,Master's Degree or higher,Hong Kong / Macao,9,19 - 25,Student,Dry,Maybe,5,6
2026-3-23 下午02:30:45,Daily,"Moisturizer, Serum, Toner, Eye Cream","Online reviews (e.g., Amazon, Sephora), Dermatologist or aesthetician recommendations",2,3,3,5,5,3,5,4,3,2,3,"Dermatologists, Sales Representatives",200 - 500 (RMB/HKD),Department stores,"Abstain from smoking and drinking, Take vitamins, Apply moisturizers",No,Yes,Female,Bachelor's Degree,Hong Kong / Macao,4,26 - 35,Office worker,Dry,Yes,7,7
2026-3-23 下午02:30:47,4-6 times a week,"Moisturizer, Serum, Toner, Eye Cream","Beauty blogs or magazines, Dermatologist or aesthetician recommendations",5,4,2,5,5,3,3,3,5,4,2,Sales Representatives,100 - 200 (RMB/HKD),Online shopping sites,"Get complete sleep, Abstain from smoking and drinking",Yes,No,Female,High School or equivalent,Hong Kong / Macao,4,15 - 18,Student,the mixed type,Yes,5,6
2026-3-23 下午02:30:52,4-6 times a week,"Cleanser, Moisturizer, Toner","Online reviews (e.g., Amazon, Sephora), Dermatologist or aesthetician recommendations",3,4,3,5,2,4,2,4,5,4,1,Pharmacists,100 - 200 (RMB/HKD),Online shopping sites,"Abstain from smoking and drinking, Apply sunblock product, Take vitamins",No,Yes,Male,Bachelor's Degree,Hong Kong / Macao,7,19 - 25,Student,Dry,Yes,7,7
2026-3-23 下午02:30:57,4-6 times a week,"Cleanser, Serum, Eye Cream","Online reviews (e.g., Amazon, Sephora), In-store consultations",3,2,3,4,4,5,5,3,3,2,2,"Online Reviews, Pharmacists",100 - 200 (RMB/HKD),Large grocery store chains,"Drink enough water, Apply moisturizers",Yes,No,Female,High School or equivalent,Hong Kong / Macao,3,15 - 18,Student,the mixed type,No,7,4
2026-3-23 下午02:30:58,Daily,"Cleanser, Moisturizer, Serum, Eye Cream",Beauty blogs or magazines,5,4,4,5,4,1,2,3,4,3,3,"Friends and Acquaintances, Sales Representatives",100 - 200 (RMB/HKD),Online shopping sites,"Drink enough water, Get complete sleep",Yes,Yes,Female,Bachelor's Degree,Hong Kong / Macao,6,26 - 35,Office worker,the mixed type,Maybe,7,6
2026-3-23 下午02:31:02,2-3 times a week,Cleanser,"Online reviews (e.g., Amazon, Sephora)",5,2,5,4,2,1,2,4,3,4,1,"Dermatologists, Sales Representatives",Less than 100 (RMB/HKD),Large grocery store chains,"Drink enough water, Get complete sleep, Apply moisturizers",No,No,Male,Other,Hong Kong / Macao,7,26 - 35,Office worker,the mixed type,Maybe,8,2
